11,14,8,12,  6,0,2,15,  1,13,9,3,  10,5,4,7
14,3,10,7,  13,11,9,0,  4,6,1,12,  2,15,5,8
9,12,7,15,  5,13,8,14,  11,4,6,1,  10,0,3,2
2,12,14,13,  5,6,10,15,  11,8,3,1,  9,0,4,7
8,13,2,4,  3,1,12,14,  9,5,0,11,  7,6,10,15
9,11,6,1,  15,0,10,4,  5,14,13,3,  2,8,12,7
15,6,10,7,  8,12,9,2,  1,5,0,14,  13,3,4,11
6,11,13,9,  5,14,15,2,  4,1,8,10,  7,12,3,0
8,3,2,11,  10,9,4,7,  0,6,12,15,  14,1,5,13
0,7,1,14,  8,10,11,13,  5,12,3,6,  9,4,2,15
7,13,3,8,  5,15,9,10,  0,14,12,11,  1,4,6,2
7,3,13,15,  4,1,12,8,  10,9,6,5,  14,0,11,2
1,4,0,11,  2,8,14,3,  15,12,10,6,  9,13,5,7
0,12,9,5,  1,6,7,4,  2,14,8,10,  15,3,11,13
12,10,3,1,  15,4,7,2,  0,11,5,8,  9,13,6,14
5,11,15,6,  9,1,8,12,  13,7,3,14,  4,0,10,2
12,5,4,14,  11,13,6,7,  3,1,0,15,  9,10,8,2
12,8,7,2,  14,1,5,13,  0,4,11,9,  10,3,6,15
1,10,3,5,  13,15,2,12,  0,6,11,4,  14,8,7,9
7,4,13,12,  1,9,11,2,  0,15,10,8,  6,5,3,14
7,10,0,8,  1,2,11,12,  4,9,6,13,  3,5,15,14
9,6,12,2,  10,13,3,8,  7,15,0,11,  1,14,5,4
3,4,1,6,  8,2,10,12,  0,13,7,9,  15,5,11,14
4,10,8,15,  7,11,6,1,  0,2,9,5,  3,12,14,13
12,3,15,4,  10,6,5,7,  0,2,11,8,  14,1,9,13
13,6,4,8,  5,12,9,3,  10,7,0,11,  1,14,2,15
9,13,0,15,  10,11,1,14,  5,4,2,7,  12,3,6,8
3,9,2,14,  4,7,8,13,  10,5,15,6,  11,0,12,1
4,6,5,2,  13,3,8,12,  1,14,0,11,  15,9,10,7
8,3,6,4,  7,1,10,13,  2,9,15,12,  11,0,5,14
12,8,3,2,  1,10,6,14,  0,15,11,9,  5,13,7,4
6,15,7,12,  11,14,10,0,  5,8,3,1,  4,9,2,13
11,1,9,7,  2,8,3,4,  0,15,14,13,  5,10,12,6
4,2,13,7,  11,3,6,5,  0,1,9,14,  10,12,8,15
14,1,12,10,  4,0,3,5,  8,2,15,9,  7,11,13,6
2,7,0,14,  15,10,3,13,  12,9,11,6,  5,1,8,4
8,14,2,13,  6,10,15,3,  5,7,9,12,  1,0,4,11
2,12,6,10,  9,7,15,14,  0,8,1,3,  13,5,4,11
8,4,15,10,  12,1,11,0,  5,9,13,3,  14,6,2,7
4,15,3,6,  7,10,12,11,  13,8,14,9,  5,0,2,1
3,13,1,8,  6,15,10,9,  12,14,0,2,  7,4,5,11
6,2,0,10,  7,1,9,12,  13,4,3,8,  15,11,5,14
10,12,2,13,  3,5,6,0,  4,11,1,9,  14,8,7,15
14,3,2,4,  7,1,10,6,  0,13,12,9,  5,15,11,8
1,15,3,8,  4,6,11,2,  7,13,14,12,  9,5,10,0
5,3,10,7,  12,1,4,0,  8,15,14,13,  2,9,11,6
6,13,14,1,  10,12,3,5,  0,7,4,9,  15,8,11,2
2,14,5,15,  7,3,9,0,  8,1,4,12,  11,10,13,6
6,1,0,3,  12,8,14,15,  10,5,2,11,  4,7,13,9
14,5,9,4,  15,0,2,8,  13,7,10,12,  1,11,6,3
1,2,3,5,  15,12,7,8,  9,4,11,13,  6,10,14,0
7,14,10,8,  6,9,3,1,  15,12,0,13,  5,2,11,4
11,15,10,14,  12,5,4,0,  3,13,9,8,  1,7,2,6
3,14,11,9,  2,6,1,4,  0,12,5,10,  7,15,13,8
12,5,15,4,  6,1,8,9,  2,13,11,7,  14,10,3,0
2,3,7,9,  5,0,15,1,  6,4,10,12,  14,8,13,11
2,11,6,5,  9,0,3,12,  8,10,14,1,  7,13,4,15
15,1,3,7,  5,8,2,0,  14,11,6,12,  4,13,10,9
8,12,13,11,  9,15,7,0,  6,3,2,4,  14,1,5,10
10,6,0,2,  12,14,5,7,  15,3,4,13,  8,1,11,9
0,9,6,2,  12,5,13,7,  10,14,3,11,  8,4,1,15
1,9,12,11,  10,0,14,4,  2,3,7,15,  6,8,13,5
1,12,14,7,  3,9,8,4,  11,2,0,6,  15,10,13,5
9,5,11,1,  13,10,14,6,  2,4,15,12,  7,8,3,0
8,10,13,12,  14,15,11,0,  1,3,5,9,  6,2,7,4
6,1,5,3,  8,11,10,12,  0,9,14,2,  15,4,7,13
8,6,3,2,  10,0,15,13,  7,14,5,9,  4,1,11,12
0,2,11,9,  1,4,3,13,  12,10,5,8,  6,7,14,15
6,12,2,9,  10,0,13,15,  4,5,8,3,  14,11,1,7
